sku,special_price,special_from_date,special_to_date
ANDRE-NIDIA-TAUPE-40,89,06/01/2016,06/01/2025
ANDRE-NIDIA-TAUPE-41,89,06/01/2016,06/01/2025
ANDRE-PAMMIE-BLACK,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-BLACK-10,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-BLACK-11,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-BLACK-5,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-BLACK-6,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-BLACK-7,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-BLACK-8,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-BLACK-9,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-NATURAL,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-NATURAL-10,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-NATURAL-11,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-NATURAL-5,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-NATURAL-6,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-NATURAL-7,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-NATURAL-8,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-NATURAL-9,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-NAVY,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-NAVY-10,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-NAVY-11,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-NAVY-5,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-NAVY-6,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-NAVY-7,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-NAVY-8,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-NAVY-9,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-RED,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-RED-10,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-RED-11,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-RED-5,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-RED-6,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-RED-7,78,06/01/2016,06/01/2025
